date,p_open,p_high,p_low,volume,b_id,b_name,id,platform,quote_rate,p_close,p_prev_close,turnover,trade_date
2019-01-02,717.661,718.776,712.6,25574000000.0,883957,同花顺全A,3598,1,-0.235,714.206,715.888,224983000000.0,20190102
2019-01-03,713.694,720.583,709.99,29673400000.0,883957,同花顺全A,3599,1,-0.564,710.178,714.206,251768000000.0,20190103
2019-01-04,702.98,728.222,701.225,39994900000.0,883957,同花顺全A,3600,1,2.5408,728.222,710.178,322003000000.0,20190104
2019-01-07,732.334,743.761,731.236,42540300000.0,883957,同花顺全A,3601,1,2.0156,742.9,728.222,347060000000.0,20190107
2019-01-08,742.065,743.701,739.112,38522100000.0,883957,同花顺全A,3602,1,-0.0818,742.292,742.9,298982000000.0,20190108
2019-01-09,743.48,753.842,742.804,45792500000.0,883957,同花顺全A,3603,1,0.3313,744.751,742.292,378943000000.0,20190109
2019-01-10,744.32,749.172,741.715,38469200000.0,883957,同花顺全A,3604,1,-0.1454,743.668,744.751,309484000000.0,20190110
2019-01-11,743.794,750.386,742.248,36607000000.0,883957,同花顺全A,3605,1,0.9034,750.386,743.668,295954000000.0,20190111
2019-01-14,750.569,751.229,744.141,36046000000.0,883957,同花顺全A,3606,1,-0.6026,745.864,750.386,283029000000.0,20190114
2019-01-15,744.131,754.289,742.735,38295800000.0,883957,同花顺全A,3607,1,1.1294,754.288,745.864,319383000000.0,20190115
2019-01-16,754.108,757.068,751.918,36486900000.0,883957,同花顺全A,3608,1,-0.1841,752.899,754.288,304419000000.0,20190116
2019-01-17,752.087,752.882,744.607,37165200000.0,883957,同花顺全A,3609,1,-0.9841,745.49,752.899,293620000000.0,20190117
2019-01-18,745.708,750.862,742.483,40773300000.0,883957,同花顺全A,3610,1,0.5981,749.949,745.49,324795000000.0,20190118
2019-01-21,750.908,756.872,750.59,36793500000.0,883957,同花顺全A,3611,1,0.598,754.434,749.949,312876000000.0,20190121
2019-01-22,754.043,754.043,744.843,34058200000.0,883957,同花顺全A,3612,1,-0.9435,747.316,754.434,278459000000.0,20190122
2019-01-23,745.334,748.733,743.786,29921100000.0,883957,同花顺全A,3613,1,0.1896,748.733,747.316,243579000000.0,20190123
2019-01-24,749.002,754.146,745.807,35529900000.0,883957,同花顺全A,3614,1,0.4314,751.963,748.733,300113000000.0,20190124
2019-01-25,751.655,753.158,745.586,37093600000.0,883957,同花顺全A,3615,1,-0.8439,745.617,751.963,312699000000.0,20190125
2019-01-28,748.979,750.692,738.854,34892300000.0,883957,同花顺全A,3616,1,-0.8123,739.56,745.617,299089000000.0,20190128
2019-01-29,736.571,736.571,713.827,36399400000.0,883957,同花顺全A,3617,1,-2.0221,724.605,739.56,293503000000.0,20190129
2019-01-30,719.678,724.88,713.723,28336200000.0,883957,同花顺全A,3618,1,-1.5018,713.723,724.605,236988000000.0,20190130
2019-01-31,710.285,715.834,696.404,36008600000.0,883957,同花顺全A,3619,1,-1.8856,700.265,713.723,285551000000.0,20190131
2019-02-01,702.638,719.851,702.638,31247500000.0,883957,同花顺全A,3620,1,2.7969,719.851,700.265,261469000000.0,20190201
2019-02-11,722.222,739.6,722.22,36549800000.0,883957,同花顺全A,3621,1,2.7435,739.6,719.851,319475000000.0,20190211
2019-02-12,740.201,751.779,739.334,44227300000.0,883957,同花顺全A,3622,1,1.4708,750.478,739.6,364895000000.0,20190212
2019-02-13,751.106,764.876,750.084,56104400000.0,883957,同花顺全A,3623,1,1.7838,763.865,750.478,473745000000.0,20190213
2019-02-14,763.688,770.879,761.271,50614900000.0,883957,同花顺全A,3624,1,0.5141,767.792,763.865,416455000000.0,20190214
2019-02-15,766.795,771.838,765.542,50245000000.0,883957,同花顺全A,3625,1,-0.0843,767.145,767.792,418026000000.0,20190215
2019-02-18,771.43,793.149,771.43,65614800000.0,883957,同花顺全A,3626,1,3.3897,793.149,767.145,547249000000.0,20190218
2019-02-19,796.493,800.538,786.419,72444400000.0,883957,同花顺全A,3627,1,0.4244,796.515,793.149,605402000000.0,20190219
2019-02-20,796.481,798.929,789.382,61098400000.0,883957,同花顺全A,3628,1,0.278,798.729,796.515,499013000000.0,20190220
2019-02-21,797.908,810.851,793.815,72828800000.0,883957,同花顺全A,3629,1,-0.2968,796.358,798.729,615418000000.0,20190221
2019-02-22,794.745,813.805,794.296,71743000000.0,883957,同花顺全A,3630,1,2.1908,813.805,796.358,621798000000.0,20190222
2019-02-25,823.314,855.041,822.289,117043000000.0,883957,同花顺全A,3631,1,5.0528,854.925,813.805,1039570000000.0,20190225
2019-02-26,856.893,872.022,847.708,125298000000.0,883957,同花顺全A,3632,1,-0.0866,854.185,854.925,1096800000000.0,20190226
2019-02-27,852.212,865.203,843.513,102379000000.0,883957,同花顺全A,3633,1,-0.1154,853.199,854.185,890582000000.0,20190227
2019-02-28,852.806,862.451,851.235,77014500000.0,883957,同花顺全A,3634,1,0.4616,857.137,853.199,660467000000.0,20190228
2019-03-01,859.562,862.706,851.16,74466100000.0,883957,同花顺全A,3635,1,0.6497,862.706,857.137,663187000000.0,20190301
2019-03-04,869.353,891.0,868.835,113028000000.0,883957,同花顺全A,3636,1,1.7969,878.208,862.706,1045670000000.0,20190304
2019-03-05,876.269,901.581,873.423,98566500000.0,883957,同花顺全A,3637,1,2.6614,901.581,878.208,895235000000.0,20190305
2019-03-06,906.6,921.872,897.728,124573000000.0,883957,同花顺全A,3638,1,2.2506,921.872,901.581,1105420000000.0,20190306
2019-03-07,921.747,945.549,917.618,126666000000.0,883957,同花顺全A,3639,1,1.7854,938.331,921.872,1164980000000.0,20190307
2019-03-08,918.878,938.477,894.889,128324000000.0,883957,同花顺全A,3640,1,-4.6297,894.889,938.331,1181350000000.0,20190308
2019-03-11,899.993,932.661,899.993,98355200000.0,883957,同花顺全A,3641,1,4.2209,932.661,894.889,943886000000.0,20190311
2019-03-12,941.167,957.945,934.81,117348000000.0,883957,同花顺全A,3642,1,1.9211,950.578,932.661,1136470000000.0,20190312
2019-03-13,951.788,956.825,926.6,106787000000.0,883957,同花顺全A,3643,1,-1.8716,932.787,950.578,1050580000000.0,20190313
2019-03-14,925.695,932.859,896.654,85338600000.0,883957,同花顺全A,3644,1,-2.8472,906.229,932.787,811232000000.0,20190314
2019-03-15,910.781,926.892,909.698,76234000000.0,883957,同花顺全A,3645,1,1.6317,921.016,906.229,750018000000.0,20190315
2019-03-18,924.658,942.818,916.747,83665000000.0,883957,同花顺全A,3646,1,2.3672,942.818,921.016,832141000000.0,20190318
2019-03-19,943.799,950.109,939.59,78186600000.0,883957,同花顺全A,3647,1,0.4344,946.914,942.818,775266000000.0,20190319
2019-03-20,946.153,948.814,930.134,80856100000.0,883957,同花顺全A,3648,1,0.1236,948.084,946.914,779009000000.0,20190320
2019-03-21,949.207,965.297,947.351,92912900000.0,883957,同花顺全A,3649,1,1.1571,959.054,948.084,885457000000.0,20190321
2019-03-22,958.475,964.864,945.031,83167600000.0,883957,同花顺全A,3650,1,0.5317,964.153,959.054,801433000000.0,20190322
2019-03-25,947.963,966.947,944.326,83942300000.0,883957,同花顺全A,3651,1,-0.8852,955.618,964.153,818148000000.0,20190325
